id,organisation,A00,A1,A2,A3,A4,A5,A6,A7,A8b,A8a,A9b,A9a,A10_SQ010,A10_SQ001,A10_SQ002,A10_SQ003,A10_SQ004,A10_SQ005,A10_SQ006,A10_SQ007,A10_SQ008,A10_SQ009,A10T,A11,A12a,A12b,A13,B1,B1a,B1b,B1c_SQ001,B1c_SQ002,B1c_SQ003,B1c_SQ004,B1cT,B1d,B2,B3,B4,B5,B6_SQ001,B6_SQ002,B6_SQ003,B7,B8_SQ001,B8_SQ002,B8_SQ003,B8_SQ004,B8_SQ005,B8_SQ006,B8_SQ007,B8_SQ008,B8T,B8a,B9,B9a,B9b_SQ001,B9b_SQ002,B9b_SQ003,B9b_SQ004,B9b_SQ005,B9b_SQ006,B9b_SQ007,B9b_SQ008,B9b_SQ009,B9b_SQ010,B9b_SQ011,B9b_SQ012,B9bT,B10,B11,C1_SQ001,C1_SQ021,C1_SQ002,C1_SQ015,C1_SQ004,C1_SQ005,C1_SQ006,C1_SQ007,C1_SQ008,C1_SQ009,C1_SQ010,C1_SQ011,C1_SQ012,C1_SQ013,C1_SQ014,C1_SQ016,C1_SQ017,C1_SQ018,C1_SQ022,C1_SQ023,C2,C3_SQ001,C3_SQ002,C3_SQ003,C3_SQ004,C3_SQ005,C3_SQ006,C3_SQ007,C3_SQ008,C3_SQ009,C3_SQ010,C3_SQ011,C3_SQ012,C3_SQ013,C3_SQ014,C3_SQ015,C3_SQ016,C3_SQ020,C3_SQ017,C3_SQ018,C3T,C4,C5_SQ001,C5_SQ002,C5_SQ003,C5_SQ004,C5_SQ005,C5_SQ006,C6,C7,C8,C9_SQ001,C9_SQ002,C9_SQ005,C9_SQ003,C9_SQ004,C9_SQ006,C9_SQ007,C9T,C10_SQ001,C10_SQ002,C10_SQ003,C10_SQ004,C10_SQ005,C10_SQ006,C10_SQ007,C10_SQ008,C10_SQ009,C10_SQ010,C10_SQ011,C10_SQ012,C10_SQ013,C10_SQ014,C11_SQ001,C11_SQ002,C11_SQ003,C11_SQ004,C11_SQ005,C11_SQ006,C11_SQ007,C11_SQ008,C11_SQ009,C11_SQ010,C11_SQ011,C11_SQ012,C11_SQ013,C11_SQ014,C11_SQ015,C11_SQ016,C11_SQ017,C11_SQ018,C11_SQ019,E1_SQ001,E1_SQ002,E1_SQ003,E1_SQ004,E1_SQ007,E1_SQ008,E1_SQ005,E1_SQ006,E2,E3,E4_SQ001,E4_SQ002,E5a,E6a,E7a_SQ001,E7a_SQ002,E7a_SQ003,E7a_SQ004,E7a_SQ005,E7a_SQ006,E7a_SQ007,E7a_SQ008,E7a_SQ009,E7a_SQ010,E7a_SQ011,E7a_SQ012,E7a_SQ013,E5b,E6b,E7b_SQ001,E7b_SQ002,E7b_SQ003,E7b_SQ004,E7b_SQ005,E7b_SQ006,E7b_SQ007,E7b_SQ008,E7b_SQ009,E7b_SQ010,E7b_SQ011,E7b_SQ012,E7b_SQ013,E8_SQ001,E8_SQ002,E8_SQ003,E8_SQ004,E8_SQ005,E8_SQ006,E8_SQ007,E8_SQ008,E8_SQ009,E8_SQ010,E8_SQ011,E8_SQ012,E8_SQ013,E8_SQ014,E9,H1a_SQ001,H1a_SQ002,H1a_SQ003,H1a_SQ004,H1a_SQ005,H1a_SQ010,H1a_SQ006,H1a_SQ007,H1a_SQ008,H1a_SQ009,H1aT,H1b_SQ001,H1b_SQ002,H1b_SQ003,H1b_SQ004,H1b_SQ005,H1b_SQ010,H1b_SQ006,H1b_SQ007,H1b_SQ008,H1b_SQ009,H1bT,H2,H3,H4,H5,I1,I2_SQ001,I2_SQ002,I2_SQ003,I2_SQ004,I2_SQ005,I2_SQ006,I2_SQ007,I2_SQ008,I3_SQ001,I3_SQ002,I3_SQ003,I3_SQ004,I3_SQ005,I3_SQ006,I3_SQ007,I4_SQ001,I4_SQ002,I4_SQ003,I4_SQ004,I4_SQ005,I4_SQ006,I5,I6,J1,J1b,J2_SQ001,J2_SQ002,J2_SQ003,J2_SQ004,J2_SQ005,J2_SQ006,J2_SQ007,J2_SQ008,J3_SQ001,J3_SQ002,J3_SQ003,J3_SQ004,J3_SQ005,J3_SQ006,J3_SQ007,J3_SQ008,J4,J5,J6,J7,F1_SQ001,F1_SQ002,F1_SQ003,F1_SQ004,F1_SQ005,F1_SQ006,F1_SQ007,F1_SQ008,F1_SQ009,F1_SQ010,F1_SQ011,F1T,F2,F2a_SQ001,F2a_SQ002,F2a_SQ003,F2a_SQ004,F2a_SQ005,F2a_SQ006,F2a_SQ007,F2a_SQ008,F2aT,F2b_SQ001,F2b_SQ002,F2b_SQ003,F2b_SQ004,F2b_SQ005,F2b_SQ006,F2b_SQ007,F2bT,F3,F4_SQ001,F4_SQ002,F4_SQ003,F4_SQ004,F4_SQ005,F4_SQ006,F4_SQ007,F4_SQ008,F4_SQ009,F4_SQ010,F4_SQ011,F4T,F4a,F4b_SQ007,F4b_SQ001,F4b_SQ002,F4b_SQ003,F4b_SQ004,F4b_SQ005,F4b_SQ006,F4bT,F5,F5a,F5b_SQ001,F5b_SQ002,F5b_SQ003,F5b_SQ004,F5b_SQ005,F5b_SQ006,F5b_SQ007,F5bT,F6_SQ001,F6_SQ002,F6_SQ003,F6_SQ004,F6_SQ005,F6_SQ006,F6_SQ007,F6_SQ008,F6_SQ009,F6_SQ010,F6T,F6a,F6b_SQ007,F6b_SQ001,F6b_SQ002,F6b_SQ003,F6b_SQ004,F6b_SQ005,F6b_SQ006,F6bT,F6c_SQ007,F6c_SQ001,F6c_SQ002,F6c_SQ003,F6c_SQ004,F6c_SQ005,F6c_SQ006,F6cT,F7,F7a,F7b_SQ001,F7b_SQ002,F7b_SQ003,F7b_SQ004,F7b_SQ005,F7b_SQ006,F7b_SQ007,F7c_SQ001,F7c_SQ002,F7c_SQ003,F7c_SQ004,F7c_SQ005,F7c_SQ006,F7c_SQ007,F7cT,F8_SQ001,F8_SQ001,F8_SQ002,F8_SQ003,F8_SQ004,F8_SQ005,F8_SQ006,F8_SQ007,F8_SQ008,F8_SQ009,F8_SQ010,F8_SQ011,F8_SQ012,F8T,D0,D1_SQ001,D1_SQ002,D1_SQ003,D1_SQ004,D1_SQ005,D1_SQ006,D2_SQ001,D2_SQ002,D2_SQ003,D2_SQ004,D2_SQ005,D2_SQ006,D2_SQ007,D2_SQ008,D3_SQ001,D3_SQ002,D3_SQ003,D3_SQ004,D3_SQ005,D3_SQ006,D3_SQ007,D3_SQ008,D4,D5,D6,K1,K2_SQ001,K2_SQ002,K2_SQ003,K2_SQ004,K2_SQ005,K2_SQ006,K2_SQ007,K2_SQ008,K3,K3a,K4a_SQ001,K4a_SQ002,K4a_SQ003,K4a_SQ004,K4a_SQ005,K4a_SQ006,K4a_SQ007,K4a_SQ008,K4a_SQ009,K4a_SQ010,K4aT,K4b_SQ001,K4b_SQ002,K4b_SQ003,K4b_SQ004,K4b_SQ005,K4b_SQ006,K4b_SQ007,K4b_SQ008,K4b_SQ009,K4b_SQ010,K4b_SQ011,K4bT,K5_SQ001,K5_SQ002,K5_SQ003,K5_SQ004,K5_SQ005,K5_SQ006,K6,K7,K8_SQ001,K8_SQ002,K8_SQ003,K8_SQ004,K8_SQ005,K8_SQ006,K8_SQ007,K8_SQ008,K8_SQ009,K8_SQ010,K8_SQ011,K8_SQ012,K8_SQ014,K8_SQ013,K8T,K9_SQ001,K9_SQ002,K9_SQ003,K9_SQ004,K9_SQ005,K9_SQ006,K9_SQ007,K10_SQ001,K10_SQ002,K10_SQ003,K10_SQ004,K10_SQ005,K11,L1
3,leibniz,A1,A1,A61,A5,A5,A3,A3,A1,A4,A1,A3,A2,,Y,,,,,,,,,,A2,,,A4,A1,,,,,,,,,A19,A23,A4,A2,A1,A3,A1,A1,,,,,,,Y,,,,A1,A2,,,,,,,,,,,,,,A7,A42,A1,A1,A1,A6,A2,A3,A3,A3,A2,A2,A4,A6,A2,A2,A2,A4,A3,A3,A4,A6,A2,,,,,,,,,,Y,,,,,,,,,,,A5,60,35,10,5,10,0,A2,A5,A9,Y,,,,,,,,A2,A5,A2,A6,A1,A4,A4,A5,A4,A1,A4,A1,A3,A2,A4,A3,A3,A3,A5,A5,A4,A4,A4,A4,A3,A3,A4,A2,A6,A4,A2,A2,A7,Y,Y,,Y,Y,,,,,A1,A5,A1,,A3,,A4,A1,A6,A5,,,,A5,A1,A2,A6,,A5,A3,A1,A1,A1,A1,A3,A1,A2,A1,A7,A1,A5,A3,A1,,,,,,,,,Y,,Y,,,,A3,Y,,,,,,,,,,,Y,,Y,,,,,Y,,,,A2,,,A3,A2,A2,A4,A3,A2,A4,A1,A1,A2,A1,A3,A2,A2,A3,A3,A3,Y,,,,,,A5,A2,A2,,,,,,Y,,,,,,,,,,,,,A2,,,,,,Y,Y,,,,,,,,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,A1,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,A3,A1,A3,A4,A4,A2,A2,A3,A4,A3,A2,A2,A3,A1,A2,A1,A4,A2,A2,A1,A2,A1,A3,,A1,A4,A6,A3,A3,A5,A3,A3,A3,A3,A2,A3,,,,,,,,,,,,,,,Y,,,,,,,,,A5,A4,A4,A1,A5,A5,A6,A1,,,,Y,,Y,Y,,,Y,,,Y,,,A3,A2,A5,A4,A5,A4,A2,A3,A3,A1,A2,A2,A2,A1
4,leibniz,A1,A3,A20,-oth-,A1,A6,A1,A1,A1,A11,A2,A8,,Y,,,,,,,,,,A2,,,A4,A4,,,,,,,,,A14,A4,A3,A8,A1,A1,A2,A1,,,,,,,Y,,,,A2,,,Y,,,,Y,,,Y,,,,,A9,A7,A2,A1,A1,A2,A4,A3,A3,A5,A3,A4,A3,A1,A4,A3,A2,A2,A3,A3,A6,A4,A3,,,,,,,,,,,,Y,,,,,Y,,,,A6,70,20,20,0,10,3,A2,A2,A4,Y,,Y,,,,,,A2,A5,A4,A6,A3,A4,A2,A5,A5,A1,A4,A2,A1,A2,A4,A3,A3,A4,A5,A3,A3,A5,A5,A4,A7,A5,A3,A7,A6,A4,A5,A2,A4,Y,Y,,Y,Y,,,,,A2,A1,A1,A6,,A2,,A2,A3,A4,A5,A1,A1,A1,A7,A7,,A3,A2,A2,A1,A4,A1,A1,A5,A2,A2,A1,A1,A1,A1,A1,A5,,,,,,Y,,,Y,,,,,,A3,Y,Y,,,,,,,,,,Y,,,,Y,,,Y,,,,A5,,A5,A6,A1,A2,A4,A1,A5,A4,A2,A4,A4,A2,A1,A1,A2,A3,A4,A4,,,,,,,A4,A1,,,,Y,,,,,,,,,,,,,,,,A1,,,Y,,Y,Y,,,,,,,,,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,A6,,,,,,,,,A2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,,A1,A2,A3,A3,A3,A2,A2,A3,A3,A1,A2,,A2,A4,A2,A2,,A1,A4,,A2,A3,A2,A2,,A2,A4,A4,A3,A4,A5,A6,A5,A3,A4,A3,A6,,,,,,,,,,,,,,,,,,,,,,,,A4,A1,A1,A3,A4,A1,A9,A1,,,,,,Y,Y,,Y,Y,,,,,,A3,A5,A4,A3,A4,A5,A3,A4,A4,A4,A3,A3,A2,A3
5,leibniz,A1,A2,A69,A8,A1,A3,A1,A1,A6,A9,A3,A9,,,,,,,,,,,,A2,,,A4,A1,,,,,,,,,A8,A6,A4,A4,A3,A2,A2,A2,,,,,,,Y,,,,A1,,,Y,,,,,,,,,,,,A7,A32,A2,A2,A2,A6,A6,A1,A2,A2,A2,A1,A3,A2,A2,A2,A2,A2,A4,A3,A2,A5,A1,,,Y,Y,,,,,,,Y,Y,,Y,,,,,,,A5,50,5,20,2,0,0,A1,A4,A4,,,,,,,,,A3,A5,A1,A5,A2,A3,A3,A4,A4,A1,A1,A1,A1,A2,A3,A3,A3,A5,A4,A2,A5,A4,A2,A5,A6,A2,A4,A6,A4,A2,A2,A4,A4,Y,,,,Y,,,,,A3,A2,A1,,,A1,A5,,,,,,,A4,,A1,A2,,A2,A4,A2,A1,A1,A1,A2,A2,A1,A1,A1,A1,A1,A1,A4,,,,,,,Y,,,,,,,,A3,,,,,,,,Y,,,,,Y,Y,Y,,,,,,,,A3,,,A1,A2,A4,A5,A2,A4,A3,A4,A1,A1,A3,A2,A2,A1,A2,A4,A2,,,,,,,A4,A1,A2,,,,,Y,,,,,,,,,,,,,,A2,,,Y,Y,Y,,,Y,,,,,,,A5,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,A2,,,,,,,,,,,Y,Y,Y,,,,,Y,,,A7,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,A1,A2,,A3,A4,A2,A3,A2,A2,A2,A3,A1,A4,A4,A3,A1,A3,A1,A2,A2,A2,A4,A1,A2,,A1,A4,A1,A6,A3,A1,A4,A5,A3,A4,A1,,,,,,,,,,,,,,,,,,,,,,,,,A3,A2,A4,A2,A3,A2,A22,A1,,,,,,Y,Y,,,Y,,,,,,A3,A6,A4,A3,A2,A5,A3,A4,A4,A2,A4,A4,A2,A3
6,leibniz,A1,A3,A38,A2,A5,A30,A1,A1,A3,A9,A5,A10,,Y,,,,,,,,,,A3,,,A4,A1,,,,,,,,,A5,A5,A2,A3,A2,A1,A3,A1,,,,,,,,,,,A1,,,,,Y,,,,,,,,,,A7,A42,A4,A3,A1,A1,A2,A2,A3,A3,A3,A4,A3,A6,A2,A3,A6,A4,A2,A2,A2,A3,A1,Y,Y,Y,,,,,,,,Y,,,,,,,,,,A9,40,10,5,0,20,0,A2,A3,A4,Y,Y,,,,,,,A4,A5,A2,A4,A1,A4,A5,A3,A3,A2,A3,A2,A2,A2,A4,A4,A3,A4,A4,A5,A4,A3,A4,A3,A6,A4,A4,A3,A6,A5,A4,A4,A3,Y,Y,Y,,Y,,,,,A1,A1,A1,A9,,A1,A5,A5,,A4,A1,A2,A2,A1,,A2,,A2,A4,A2,A3,A3,A4,A2,A4,A3,A2,A1,A1,A2,A1,A4,A1,,,Y,Y,,Y,,,,,,,,,A4,,Y,,,,,,,,,,Y,,,Y,,Y,,,,,,A5,A4,,A6,A3,A4,A5,A3,A4,A3,A1,A1,A2,A2,A4,A3,A3,A3,A2,A4,,,,,,,A4,A5,A2,,,,,,Y,,,,Y,,,,,,,,,A2,,,,,Y,,,Y,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,A4,A2,A1,A3,A1,A3,A3,A1,A2,,A1,A2,A2,A1,A3,A3,A2,A3,A2,A2,A2,A2,A5,,A3,A4,A3,A4,A6,A2,A5,A4,A3,A4,A3,A6,,,,,,,,Y,,,,,,,,,,,,,,,,A2,A3,A3,A4,A2,A1,A15,A1,,,,,,Y,Y,,Y,,,,,,,A6,A4,A3,A4,A5,A3,A6,A3,A3,A4,A2,A4,A2,A1
8,leibniz,A1,A2,A73,A1,A1,A7,A1,A1,A5,A10,A4,A10,,,,,,,,,,,,A2,,,A4,A1,,,,,,,,,A12,A5,A4,A2,A1,A3,A2,A2,,,,,,,,,,A4,A1,,,Y,,,,,,,,,,,,A7,A28,A2,A2,A2,A6,A4,A2,A3,A3,A2,A2,A2,A4,A1,A4,A6,A2,A5,A2,A2,A3,A2,,,,,,,,,,Y,,,,,,,,,,,A6,45,10,0,0,0,0,A1,A2,A5,Y,,Y,,,,,,A4,A4,A5,A2,A3,A4,A1,A4,A2,A1,A2,A3,A4,A1,A4,A3,A5,A5,A4,A5,A5,A3,A4,A6,A6,A5,A4,A5,A3,A4,A4,A4,A6,Y,Y,,,Y,,,,,A1,A2,A2,,,,A1,A2,A1,,,,,A2,A1,A1,,,A4,A1,A1,A4,A1,A1,A5,A2,A1,A1,A2,A3,A4,A3,A1,Y,,,,,,,,,Y,,,,,A4,,Y,,,,Y,,Y,,,,,,,,,,,Y,,,,A5,,,A2,A2,A4,A5,A5,A4,A2,A4,A1,A1,A1,A3,A3,A1,A2,A3,A4,Y,,,,,,A6,A2,A2,A1,,,Y,,,,Y,,,,,,,,,,,A2,,,Y,,Y,Y,Y,,Y,,,,,,A3,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,A2,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,A1,A3,A2,A1,A1,A3,A2,A3,A2,A2,A1,A3,A4,A2,A2,A1,A1,A4,A2,A1,A1,A1,A2,A2,,A4,A2,A3,A7,A8,A3,A4,A4,A5,A5,A3,A4,,,,,,,,,,,,,,,,,,,,,,,,A3,A5,A4,A4,A2,A7,A18,A1,,Y,,,,,Y,,Y,,,,,,,A5,A4,A3,A5,A5,A3,A3,A4,A3,A1,A3,A1,A2,A1
9,leibniz,A1,A1,A9,A12,A3,A8,A3,A1,A5,A1,A4,A3,,Y,,,,,,,,,,A2,,,A4,A3,,,,,,,,,A12,A7,A4,A1,A1,A1,A1,A2,,,,Y,,Y,Y,,,,A1,,,,,,,,,,,Y,,,,A7,A1,A5,A2,A1,A1,A2,A1,A2,A2,A5,A2,A2,A2,A1,A1,A3,A2,A1,A2,A1,A7,A3,,,,,,,Y,Y,,,,,,,,,,,,,A5,5,0,20,0,10,0,A2,A1,A5,,Y,,,,,,,A4,A2,A2,A5,A2,A4,A3,A4,A3,A1,A1,A3,A2,A3,A3,A5,A3,A4,A5,A4,A5,A4,A4,A5,A6,A3,A2,A2,A5,A6,A4,A5,A5,Y,Y,,,Y,,,,,A1,A1,A1,A3,,,A7,A3,A3,,A1,,,A1,,,,A3,A1,A2,A1,A1,A2,A1,A1,A2,A2,A1,A1,A1,A1,A2,A1,,,,,Y,,,,,Y,,,,,A3,Y,Y,,,,,,,,Y,,Y,Y,,,,,,,,,,A5,,,A3,A3,A3,A2,A4,A2,A1,A6,A2,A3,A2,A1,A3,A2,A2,A4,A3,,,Y,,,,A4,A3,A4,,,,Y,,,,,,,,,,,,,,A1,A2,A1,,Y,,Y,,Y,Y,,,,,,,A3,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,A2,A4,A2,A1,A1,A2,A4,,A2,A2,A4,A2,,A2,A2,A1,A1,A2,A4,A1,A2,A1,A1,A2,,A1,A4,A2,A4,A4,A4,A4,A5,A3,A3,A3,A6,,,,,,,,,,,,,,,,,,,,,,,,A4,A5,A4,A3,A3,A2,A18,A1,,,,,,Y,Y,,,Y,,,,,,A4,A4,A3,A5,A3,A4,A2,A4,A4,A3,A4,A4,A1,A1
12,leibniz,A1,A1,A82,-oth-,A1,A8,A3,A1,A2,A2,A10,A3,,Y,,,,,,,,,,A2,,,A4,A1,A2,,,,,,,,A13,A13,A4,A8,A2,A1,A3,A2,,,,,,,Y,,,,A1,,,,,,,,Y,,,,,,,A7,A27,A3,A1,A3,A6,A1,A1,A3,A2,A2,A2,A5,A2,A1,A3,A6,A2,A4,A3,A3,A6,A4,,,,,,,,,,,,,Y,,,,,,,,A3,10,1,5,0,15,0,A1,A3,A4,,Y,,,,,,,A5,A4,A2,A4,A3,A5,A2,A4,A5,A1,A2,A1,A3,A2,A2,A4,A4,A2,A4,A2,A4,A4,A5,A5,A4,A3,A2,A4,A4,A4,A5,A5,A4,Y,Y,,,,,,,,A2,A1,A1,,A4,A6,,A3,,,A2,A1,,A6,,A3,A6,A3,A1,A1,A2,A1,A1,A1,A1,A2,A4,A3,A1,A1,A1,A1,A5,Y,,,,,Y,,,Y,,,Y,,,A3,,,,,,,Y,,,,,,,,,Y,,,,,,,A2,,,A3,A2,A4,A5,A3,A3,A1,A2,A6,A2,A2,A4,A2,A2,A4,A4,A1,,,,,,,A6,A3,A2,,,,,,,,,,,,,,,,,,,A2,,,,,Y,Y,,Y,,,,,,,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,A2,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,A1,A2,A1,A1,A3,A3,A2,A3,A3,A4,A3,A2,A3,A2,A1,A3,A1,A1,A1,A1,A2,A2,A2,A2,,A2,A4,A7,A6,A3,A3,A4,A2,A4,A6,A3,,,,,,,,,Y,,,,,,,,,,,,,,,,A1,A5,A2,A3,A4,A1,A12,A1,,,,,,,Y,,,Y,,,,,,A6,A2,A2,A5,A3,A4,A3,A4,A4,A3,A3,A2,A3,A3
14,leibniz,A1,A3,A59,A5,A1,A5,A3,A1,A2,A10,A2,A13,,,Y,,,,,,,,,A5,,,A4,A1,,,,,,,,,A15,A5,A4,A4,A2,A3,A1,A1,,,,,,,Y,,,,A1,,,,,,,,,Y,,Y,,,,A7,A15,A1,A2,A3,A3,A1,A1,A2,A2,A1,A3,A5,A6,A4,A2,A2,A5,A3,A2,A2,A2,A3,,,,,,,,,,Y,,,Y,,,,Y,,,,A5,70,19,10,0,0,0,A2,A6,A5,Y,Y,,,,,,,A1,A1,A2,A2,A1,A3,A2,A1,A5,A1,A2,A1,A2,A3,A5,A2,A5,A3,A5,A5,A4,A5,A6,A5,A3,A4,A4,A6,A4,A4,A4,A4,A5,Y,,Y,Y,Y,,,,A1,A2,A1,A1,A4,,A1,,,,A3,,,,,,,,A5,A2,A3,A2,A1,A1,A1,A1,A1,A3,A6,A2,A1,A1,A3,A1,,,,,Y,,,,,,,,,,A4,,,,,,,,,,,,Y,,,,,,,Y,,,,A5,A1,A2,A4,A3,A4,A5,A2,A6,A6,A4,A4,A1,A2,A1,A2,A1,A3,A3,A2,,,,,,,A4,A2,A2,,,,Y,,Y,Y,,,,,,,,,,,,A2,A3,,Y,,,,,,,,,,,,A3,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,A3,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,A2,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,A1,,A3,A1,A1,A2,A4,A2,A3,A2,A3,A2,A3,A3,A3,A4,A1,A3,,A2,A3,A1,,A2,,A4,A4,A3,A6,A5,A3,A4,A4,A3,A3,A3,A12,,,,,,,,,,,,,,,,,,,,,,,,A4,A5,A1,A4,A3,A1,A8,A1,,,,,,,Y,,,,Y,,,,,A6,A4,A4,A6,A4,A4,A3,A3,A4,A2,A3,A2,A4,A3
15,leibniz,A1,A2,A28,A7,A3,A11,A3,A1,A3,A10,A4,A12,,Y,,,,,,,,,,A3,,,A4,A1,,,,,,,,,A10,A5,A4,A1,A2,A3,A4,A2,,,,,,,Y,,,A4,A2,A4,,,,,,,,Y,,,,,,A9,A28,A1,A2,A2,A3,A3,A3,A3,A2,A2,A6,A3,A5,A2,A4,A6,A1,A2,A4,A4,A3,A2,,,,,,,,Y,,,,,,,,,,,,,A9,80,35,5,0,2,0,A3,A4,A2,,,,Y,,,,,A2,A5,A3,A5,A3,A4,A2,A4,A5,A2,A2,A1,A3,A1,A3,A6,A3,A4,A4,A4,A5,A4,A2,A5,A6,A2,A4,A4,A6,A5,A5,A4,A4,,Y,,,Y,Y,,,,A1,A2,A5,A7,A3,,A4,,,A4,,,,,,,A1,A5,A3,A2,A1,A2,A1,A1,A5,A7,A1,A2,A1,A1,A1,A1,A3,,,,,,,,Y,,,,,,,A2,,,,,Y,,Y,,,,,,,,,,,Y,,,,,A5,,,A6,A3,A1,A5,A3,A4,A1,A2,A5,A5,A4,A3,A4,A1,A1,A3,A3,,,,,,,A4,A1,A1,,,,Y,,,,Y,,,,,,,,,,,A2,,,,,,Y,Y,Y,,,,,,,A2,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,A2,A2,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,A2,A2,A3,A1,A1,A2,A1,A4,A2,A4,A2,A1,A2,A3,A2,A1,A1,A2,,,,,A2,,A1,A4,A3,A6,A3,A5,A6,A5,A3,A5,A1,,,,,,,,,,,,,,,,,,,,,,,,,A4,A4,A3,A3,A3,A3,A6,A1,,,,,,Y,,,Y,Y,,,,,Y,A5,A5,A5,A5,A4,A4,A3,A4,A4,A2,A4,A4,A3,A2
16,leibniz,A1,A1,A12,A5,A3,A13,A3,A2,A2,A10,A3,A13,,Y,,,,,,,,,,A2,,,A4,A2,,,,,,,,,A16,A1,A5,A3,A1,A3,A2,A2,,,,,,,Y,,,,A2,A2,,,,,Y,,,,,,,,,A7,A28,A3,A2,A2,A4,A2,A4,A2,A4,A2,A2,A5,A6,A1,A1,A1,A1,A2,A4,A1,A4,A2,Y,,,,,,,,,,,,,,,,,,,,A7,80,60,5,0,10,0,A1,A5,A6,Y,,,,,,,,A3,A5,A2,A3,A3,A4,A2,A6,A5,A1,A1,A4,A1,A3,A2,A2,A4,A4,A4,A3,A6,A5,A4,A5,A5,A3,A5,A6,A5,A4,A5,A3,A4,Y,Y,,,Y,,,,,A1,A1,A2,,,A6,,,A3,A5,,A2,,,,A1,A1,,A5,A2,A5,A1,A1,A1,A5,A2,A2,,A1,A1,A1,A2,A1,Y,,,,Y,,Y,,,,,Y,,,A4,Y,,,Y,,,,,,,,,,,,,,Y,,,,,A1,A2,A5,A4,A3,A4,A6,A4,A4,A5,A2,A1,A1,A1,A2,A4,A3,A2,A3,A3,,,,,,,A2,A2,A2,,,,,,,,,,,,,,,,,,A2,A2,A3,,Y,Y,Y,,Y,Y,,,,,,,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,A1,A3,A3,A3,A2,A4,A1,A3,A1,A1,A4,A1,A3,A3,A1,A2,A1,,A2,A3,A1,A2,A1,A3,,A2,A4,A3,A5,A3,A3,A4,A3,A4,A3,A3,,,,,,,,,,,,,,,,,,,,,,,,,A2,A5,A1,A5,A5,A3,A10,A1,,,,,,Y,Y,,,,,,,,,A5,A4,A7,A3,A3,A4,A2,A1,A4,A3,A3,A3,A5,A1
